run_id,system,agent_count,task_id,backbone_model,judge_model,coord_tokens,work_tokens,cwr,steps_taken,success,commit_attempts,commit_conflicts,scr,retry_exhaustions,excluded,wall_ms,sdk_version
e9e5e6ff-0d36-4408-8446-436c3c81d013,crewai,8,astropy__astropy-12907,gpt-4o-mini,claude-haiku-3,1212920,35205,34.4531,50,1,0,0,0.0000,0,0,212424,crewai-1.12.2
73e8e5e2-3ba3-41b2-8852-0069c51b691e,autogen,8,astropy__astropy-12907,gpt-4o-mini,claude-haiku-3,456137,15703,29.0478,50,0,0,0,0.0000,0,0,345633,autogen-0.7.5
b1c26837-83ba-43fd-a3d8-09a0dd319e4f,langgraph,8,astropy__astropy-12907,gpt-4o-mini,claude-haiku-3,12357,1974,6.2599,50,0,0,0,0.0000,0,0,62800,langgraph-1.1.3
4d83ad09-c0e3-44fe-a3e6-d1fa7e9eb009,sbus,16,astropy__astropy-12907,gpt-4o-mini,claude-haiku-3,1038,7759,0.1338,50,1,14,0,0.0000,0,0,28526,rust-sbus-0.1.0
453e2258-fd9f-494f-ac0b-da3ade603439,crewai,16,astropy__astropy-12907,gpt-4o-mini,claude-haiku-3,164420,18000,9.1344,50,0,0,0,0.0000,0,0,77419,crewai-1.12.2
39dd117e-a973-42ac-83dc-8b38338d04ca,autogen,16,astropy__astropy-12907,gpt-4o-mini,claude-haiku-3,429475,11471,37.4401,50,1,0,0,0.0000,0,0,243772,autogen-0.7.5
dd68cf60-6dcf-431b-b0f6-0da426036608,langgraph,16,astropy__astropy-12907,gpt-4o-mini,claude-haiku-3,7347,989,7.4287,50,0,0,0,0.0000,0,0,29480,langgraph-1.1.3
bc0611ee-7c81-4695-ac57-479c72be839e,sbus,16,astropy__astropy-12907,gpt-4o-mini,claude-haiku-3,1143,7957,0.1436,50,1,14,0,0.0000,0,0,36069,rust-sbus-0.1.0
55b1b839-1760-4133-a670-d41c038ac8f2,crewai,16,astropy__astropy-12907,gpt-4o-mini,claude-haiku-3,165160,18325,9.0128,50,0,0,0,0.0000,0,0,80755,crewai-1.12.2
0d22d76e-96ec-43ef-8061-022d2d3d8696,autogen,16,astropy__astropy-12907,gpt-4o-mini,claude-haiku-3,567457,17233,32.9285,50,0,0,0,0.0000,0,0,428709,autogen-0.7.5
2cdce5fe-8097-4ce4-a755-3e8b91607235,langgraph,16,astropy__astropy-12907,gpt-4o-mini,claude-haiku-3,7113,908,7.8337,50,1,0,0,0.0000,0,0,32903,langgraph-1.1.3
7548813c-4da3-486a-b0f8-760957c939d9,sbus,16,astropy__astropy-12907,gpt-4o-mini,claude-haiku-3,1013,7709,0.1314,50,0,14,0,0.0000,0,0,31336,rust-sbus-0.1.0
6c6bd100-f1e1-4350-abb8-0787a1123b87,crewai,16,astropy__astropy-12907,gpt-4o-mini,claude-haiku-3,164250,18050,9.0997,50,0,0,0,0.0000,0,0,86351,crewai-1.12.2
36f354d8-ea4a-49c3-bb5d-6a50a6e7b0ed,autogen,16,astropy__astropy-12907,gpt-4o-mini,claude-haiku-3,511278,15263,33.4979,50,1,0,0,0.0000,0,0,392641,autogen-0.7.5
ba069e7f-f0c2-440b-b999-8a516bd7771c,langgraph,16,astropy__astropy-12907,gpt-4o-mini,claude-haiku-3,7042,928,7.5884,50,0,0,0,0.0000,0,0,34804,langgraph-1.1.3
5f497891-1b53-423f-b98a-15c275945880,sbus,4,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,3786,45366,0.0835,50,1,50,0,0.0000,0,0,104726,rust-sbus-0.1.0
a581884e-19de-48b9-8ced-c8fa630b5048,crewai,4,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,150680,13905,10.8364,50,0,0,0,0.0000,0,0,67658,crewai-1.12.2
5d9f055a-401b-4174-9f94-5560b8c44a97,autogen,4,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,312557,11565,27.0261,50,1,0,0,0.0000,0,0,272751,autogen-0.7.5
eafdd90a-3573-4be7-abf6-3566279886fd,langgraph,4,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,22674,3186,7.1168,50,1,0,0,0.0000,0,0,95945,langgraph-1.1.3
105350c2-a8b3-4921-a04c-8fb5b9dc17d7,sbus,4,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,3553,44897,0.0791,50,1,50,0,0.0000,0,0,91268,rust-sbus-0.1.0
b7a94513-a80c-4ac7-8ad5-21e92ff34c8b,crewai,4,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,152400,14555,10.4706,50,0,0,0,0.0000,0,0,65571,crewai-1.12.2
ab3c1bdd-3a2e-4af5-9857-dc3bcdf7fa7a,autogen,4,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,471434,17348,27.1751,50,1,0,0,0.0000,0,0,466482,autogen-0.7.5
d0e5313c-ab55-4913-889e-619b29b4e106,langgraph,4,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,22557,3260,6.9193,50,1,0,0,0.0000,0,0,118907,langgraph-1.1.3
07b336fd-775d-4ed6-a289-41490f86fb8e,sbus,4,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,3638,45073,0.0807,50,1,50,0,0.0000,0,0,113381,rust-sbus-0.1.0
52acbd35-6ee2-488c-8f07-207972b79307,crewai,4,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,220375,17615,12.5106,50,1,0,0,0.0000,0,0,79406,crewai-1.12.2
e6b3f97a-adc0-4794-b1e8-90bd81328a48,autogen,4,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,374551,13237,28.2958,50,1,0,0,0.0000,0,0,307862,autogen-0.7.5
020b595a-8985-4648-917e-757c559151c8,langgraph,4,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,23031,3302,6.9749,50,1,0,0,0.0000,0,0,107083,langgraph-1.1.3
cdfcdb85-28ed-4362-91e8-3634e0f43f00,sbus,8,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,1929,23646,0.0816,50,1,26,0,0.0000,0,0,52109,rust-sbus-0.1.0
6929e08e-622b-4e10-a680-d5f4c385d581,crewai,8,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,151560,13885,10.9154,50,0,0,0,0.0000,0,0,54251,crewai-1.12.2
9e3c0c0f-2e98-48f3-9b05-55e3e6501eed,autogen,8,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,506893,17398,29.1351,50,1,0,0,0.0000,0,0,344770,autogen-0.7.5
e649d1fd-79a2-4a00-b057-537640d9e692,langgraph,8,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,14272,1711,8.3413,50,1,0,0,0.0000,0,0,58091,langgraph-1.1.3
476b9783-3ca2-4c41-9d66-574920c86796,sbus,8,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,1953,23694,0.0824,50,1,26,0,0.0000,0,0,59967,rust-sbus-0.1.0
36f3ffbb-0089-4246-939d-fc77ce8a9130,crewai,8,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,148840,13195,11.2800,50,1,0,0,0.0000,0,0,72605,crewai-1.12.2
13fc7799-3183-40eb-945e-3b9678d34bb6,autogen,8,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,425452,14066,30.2468,50,1,0,0,0.0000,0,0,286585,autogen-0.7.5
c06032ad-2291-4e0e-9610-ee16eaa57502,langgraph,8,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,13890,1611,8.6220,50,0,0,0,0.0000,0,0,51852,langgraph-1.1.3
6a57282a-685e-4e70-96df-72d11fff4327,sbus,8,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,1894,23550,0.0804,50,1,26,0,0.0000,0,0,55709,rust-sbus-0.1.0
0df2fde8-265f-4afa-9151-419d8d299f5a,crewai,8,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,131875,12620,10.4497,50,1,0,0,0.0000,0,0,49990,crewai-1.12.2
c6f5b2bb-3c4b-41a6-9065-1fee84d58834,autogen,8,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,480192,16145,29.7425,50,1,0,0,0.0000,0,0,369404,autogen-0.7.5
39955d3e-4aac-42a0-b4f0-14e22f2e3569,langgraph,8,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,13312,1508,8.8276,50,1,0,0,0.0000,0,0,52504,langgraph-1.1.3
682aa89c-cfe8-49b6-b7cc-702790a590c4,sbus,16,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,1100,12987,0.0847,50,1,14,0,0.0000,0,0,31757,rust-sbus-0.1.0
b5642313-ef86-4407-a9c3-42f3d371079e,crewai,16,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,203185,15710,12.9335,50,1,0,0,0.0000,0,0,77709,crewai-1.12.2
bf6e5153-214d-4b4e-b025-ee0a9845d739,autogen,16,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,299171,6927,43.1891,50,0,0,0,0.0000,0,0,151058,autogen-0.7.5
4b37f0f1-2f7e-4cbb-ad35-fe81756a5b87,langgraph,16,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,9802,878,11.1640,50,1,0,0,0.0000,0,0,27864,langgraph-1.1.3
4739fff4-472e-4e40-8230-10aaf488f915,sbus,16,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,933,12653,0.0737,50,1,14,0,0.0000,0,0,32233,rust-sbus-0.1.0
b55806f8-6479-4345-a647-b365adce47a4,crewai,16,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,148480,13365,11.1096,50,0,0,0,0.0000,0,0,60077,crewai-1.12.2
ddc9733e-5718-4df3-bad7-89924f5eb40e,autogen,16,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,635814,18718,33.9681,50,1,0,0,0.0000,0,0,381481,autogen-0.7.5
067b46f0-b346-4aee-9d1e-862c7dfba444,langgraph,16,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,9545,840,11.3631,50,1,0,0,0.0000,0,0,26073,langgraph-1.1.3
4aeea6b9-6995-4140-9777-945988f42685,sbus,16,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,1124,13028,0.0863,50,1,14,0,0.0000,0,0,31012,rust-sbus-0.1.0
8c5eff25-fc74-4b74-8119-3442f2d70b02,crewai,16,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,149840,13860,10.8110,50,0,0,0,0.0000,0,0,73933,crewai-1.12.2
2ed49748-ac6f-4d96-ab3d-8e752d86c9e2,autogen,16,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,628495,18896,33.2607,50,1,0,0,0.0000,0,0,524710,autogen-0.7.5
aca2eb65-d441-4d5f-8de1-9df1da137ba4,langgraph,16,astropy__astropy-13033,gpt-4o-mini,claude-haiku-3,9633,831,11.5921,50,1,0,0,0.0000,0,0,32149,langgraph-1.1.3
2c7dc5fa-efb6-4d39-a329-b37d624bd2d2,sbus,4,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,3687,34511,0.1068,50,1,50,0,0.0000,0,0,113569,rust-sbus-0.1.0
802862fd-5a82-42ef-b1a0-08748ea33bce,crewai,4,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,179050,17950,9.9749,50,0,0,0,0.0000,0,0,105718,crewai-1.12.2
d957ebba-78d0-45e0-b7d9-00b80892ac6a,autogen,4,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,313773,12717,24.6735,50,1,0,0,0.0000,0,0,319305,autogen-0.7.5
c53a4aa9-531a-4d62-8058-cab365229559,langgraph,4,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,22460,3480,6.4540,50,1,0,0,0.0000,0,0,126594,langgraph-1.1.3
24e43950-801c-42d4-9fde-87b6e1857911,sbus,4,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,3614,34356,0.1052,50,1,50,0,0.0000,0,0,97378,rust-sbus-0.1.0
4214d3a2-100c-48fd-baf0-49555719d1d8,crewai,4,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,181950,18415,9.8805,50,0,0,0,0.0000,0,0,87717,crewai-1.12.2
1b378f14-ef26-4beb-8a5e-fa8a72686000,autogen,4,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,397952,14877,26.7495,50,1,0,0,0.0000,0,0,328915,autogen-0.7.5
a80b61bd-a735-4637-9196-544e2e791ca2,langgraph,4,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,21268,3321,6.4041,50,1,0,0,0.0000,0,0,111684,langgraph-1.1.3
f4a70b3b-4d0e-4fac-bee4-d8dcaa9d9b64,sbus,4,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,3971,35103,0.1131,50,1,50,0,0.0000,0,0,109131,rust-sbus-0.1.0
8580fd91-2c15-4020-91b1-71d45a6a3aa7,crewai,4,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,181500,18525,9.7976,50,0,0,0,0.0000,0,0,87236,crewai-1.12.2
7870c0d0-d9fb-4297-86c2-30bcc60bc47f,autogen,4,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,414574,15700,26.4060,50,1,0,0,0.0000,0,0,312613,autogen-0.7.5
485ed625-d3b8-431a-8864-757ef65d999a,langgraph,4,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,22096,3483,6.3440,50,1,0,0,0.0000,0,0,110167,langgraph-1.1.3
da2d6c84-359d-4580-a74e-8d071329a5ed,sbus,8,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,2037,18323,0.1112,50,1,26,0,0.0000,0,0,52787,rust-sbus-0.1.0
01486d79-5f32-416a-9b54-976984799105,crewai,8,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,179780,18155,9.9025,50,1,0,0,0.0000,0,0,74825,crewai-1.12.2
2c66a3aa-b7b5-4b53-a5cd-cc4eefdd59a6,autogen,8,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,339056,10936,31.0037,50,1,0,0,0.0000,0,0,268678,autogen-0.7.5
bdc19e66-4493-466a-a042-cd9f0f967fe3,langgraph,8,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,12359,1685,7.3347,50,1,0,0,0.0000,0,0,61142,langgraph-1.1.3
7354a8c0-daa7-4bae-9160-4ac25151f387,sbus,8,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,2127,18500,0.1150,50,1,26,0,0.0000,0,0,64283,rust-sbus-0.1.0
42b8d9f7-aa11-4195-adab-57a7f2ccbde7,crewai,8,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,179220,17885,10.0207,50,0,0,0,0.0000,0,0,85529,crewai-1.12.2
4636af0c-6eb9-4fad-a1d1-609a11cd4f8a,autogen,8,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,320546,10345,30.9856,50,1,0,0,0.0000,0,0,242717,autogen-0.7.5
c7ba32b6-0d06-48d4-b1ca-85ca2e219a74,langgraph,8,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,12712,1820,6.9846,50,1,0,0,0.0000,0,0,58385,langgraph-1.1.3
e6154284-0f1d-40eb-b3f9-a98b9665337c,sbus,8,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,2024,18291,0.1107,50,1,26,0,0.0000,0,0,54318,rust-sbus-0.1.0
88b84d1c-86b3-453d-94f9-dad374db02fc,crewai,8,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,210465,20460,10.2867,50,0,0,0,0.0000,0,0,120942,crewai-1.12.2
208ea866-4349-4ab5-8d7d-3c662db11263,autogen,8,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,466417,16631,28.0450,50,1,0,0,0.0000,0,0,481115,autogen-0.7.5
fe5de39f-903f-493a-a026-0f0fd7368f95,langgraph,8,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,12837,1834,6.9995,50,1,0,0,0.0000,0,0,74026,langgraph-1.1.3
3d6b6291-ab14-4357-9404-00cfcac2b043,sbus,16,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,1121,10042,0.1116,50,1,14,0,0.0000,0,0,31100,rust-sbus-0.1.0
eae52c05-0fcd-464a-93b3-2c32414138d3,crewai,16,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,178850,17965,9.9555,50,0,0,0,0.0000,0,0,105777,crewai-1.12.2
d15eff30-c09d-4896-b8d5-2cf1cad03f8a,autogen,16,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,627254,19327,32.4548,50,1,0,0,0.0000,0,0,456748,autogen-0.7.5
7ee471d7-76fb-46c3-8b58-eab9539e26f4,langgraph,16,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,8171,891,9.1706,50,1,0,0,0.0000,0,0,27991,langgraph-1.1.3
9a0a078c-ebb3-4672-91d8-a98fa6eb436c,sbus,16,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,1181,10159,0.1163,50,1,14,0,0.0000,0,0,31134,rust-sbus-0.1.0
47f9d9e1-cd1e-4a1b-8112-d7a15c5b7055,crewai,16,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,501135,31280,16.0209,50,1,0,0,0.0000,0,0,147680,crewai-1.12.2
d546a4f4-19e5-4142-a540-333a6ada1e9c,autogen,16,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,568769,17038,33.3824,50,1,0,0,0.0000,0,0,410703,autogen-0.7.5
462b631a-ffe6-4709-ba9c-d716b0545dfa,langgraph,16,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,8296,910,9.1165,50,1,0,0,0.0000,0,0,34259,langgraph-1.1.3
e5fd4a94-0e97-486e-9d73-6724b797bf23,sbus,16,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,1187,10200,0.1164,50,1,14,0,0.0000,0,0,36619,rust-sbus-0.1.0
fe8baddd-04a3-4494-984d-ce7376f3fbab,crewai,16,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,181360,18450,9.8298,50,0,0,0,0.0000,0,0,100919,crewai-1.12.2
73de7f1e-1617-4d1e-960e-1e882f0e632b,autogen,16,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,536985,15926,33.7175,50,1,0,0,0.0000,0,0,416041,autogen-0.7.5
0ac5a856-0153-46e4-b463-acfe61fc9fb6,langgraph,16,astropy__astropy-13236,gpt-4o-mini,claude-haiku-3,8156,915,8.9137,50,1,0,0,0.0000,0,0,29485,langgraph-1.1.3
d628ea25-2396-44ae-863a-b69319391133,sbus,4,astropy__astropy-13398,gpt-4o-mini,claude-haiku-3,3531,73255,0.0482,50,1,50,0,0.0000,0,0,113606,rust-sbus-0.1.0
fe35aa9a-8fac-4908-a2a1-22e5991a1ad0,crewai,4,astropy__astropy-13398,gpt-4o-mini,claude-haiku-3,351730,20865,16.8574,50,1,0,0,0.0000,0,0,128938,crewai-1.12.2
7fd613bb-097f-4101-a300-66030b38a925,autogen,4,astropy__astropy-13398,gpt-4o-mini,claude-haiku-3,402200,13519,29.7507,50,1,0,0,0.0000,0,0,278452,autogen-0.7.5
444f6b3a-ef29-4c78-84ed-e419a4b4836b,langgraph,4,astropy__astropy-13398,gpt-4o-mini,claude-haiku-3,26720,3128,8.5422,50,1,0,0,0.0000,0,0,99896,langgraph-1.1.3
2bf448c6-15d5-42ec-b070-6bae0e8e1424,sbus,4,astropy__astropy-13398,gpt-4o-mini,claude-haiku-3,3318,72800,0.0456,50,1,50,0,0.0000,0,0,92728,rust-sbus-0.1.0
87c9c7a3-dadd-4d77-a275-eafd7d34e9c9,crewai,4,astropy__astropy-13398,gpt-4o-mini,claude-haiku-3,1467545,35080,41.8342,50,1,0,0,0.0000,0,0,193875,crewai-1.12.2
cf0d3b07-0ecc-44c6-9841-45e2f0360b81,autogen,4,astropy__astropy-13398,gpt-4o-mini,claude-haiku-3,318932,9947,32.0631,50,1,0,0,0.0000,0,0,188731,autogen-0.7.5
a84ecc06-d927-4827-b8f5-dd4f0cc86d0b,langgraph,4,astropy__astropy-13398,gpt-4o-mini,claude-haiku-3,26736,3134,8.5310,50,1,0,0,0.0000,0,0,93644,langgraph-1.1.3
5741d9a9-e406-4de6-b55a-41fc15d2fa32,sbus,4,astropy__astropy-13398,gpt-4o-mini,claude-haiku-3,3116,72388,0.0430,50,1,50,0,0.0000,0,0,95712,rust-sbus-0.1.0
